time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.01845702735e-08,-6.60325133402e-08,10.0061336262,6.28286068684,6.28304645468,4.0,1.06262910512e-05,-1.76026440685e-05,0.204439112214,-0.0193525095168,-0.00739922747692,0.0,469.05159422404546,468.47676714475455,469.7239317548508,468.22110821436615
0.12000000000000001,5.31374106757e-06,-1.26014364413e-05,10.0237435998,6.28233764019,6.28299314527,4.0,0.00018895689807,-0.000489373178619,0.382516558967,0.0068369556009,0.0096978342428,0.0,459.69820456079935,461.0507891767406,460.7350810233908,462.80076969654635
0.18,1.83772609924e-05,-5.70554814351e-05,10.0484832235,6.2825043624,0.000145776622595,4.0,0.00020080937668,-0.000963197428037,0.442115957334,-0.0069141613963,-0.00408136376281,0.0,425.3244292619361,424.1427894034527,423.96469570866776,422.78171308914136
0.23999999999999996,2.86844332411e-05,-0.000128026634732,10.0748120495,6.28166593706,6.28306693862,4.0,0.000164700772174,-0.00145112013108,0.435514139999,-0.0343769184813,-0.00505242001268,0.0,402.5772880605453,402.48950649532406,402.443975989866,399.95087474922633
0.3,4.23929788435e-05,-0.000255920635815,10.1047085964,6.279368427,6.28249712331,4.0,0.00033635315752,-0.00304098239268,0.560983093964,-0.0475698920098,-0.0203313176085,0.0,445.8484383190029,444.59866909894555,445.57058090243635,444.49012004088473
0.36000000000000004,7.79085713216e-05,-0.000512429771284,10.1377714471,6.27663671847,6.28157335063,4.0,0.000936573627192,-0.00574445501709,0.541120530769,-0.0417309994499,-0.007006163332,0.0,396.7844074733904,398.0057079114021,397.1157296595753,397.64939357212245
0.4200000000000001,0.000169421585441,-0.00100366555624,10.1735874404,6.27470322806,6.28133543772,4.0,0.00214727855205,-0.0108548932596,0.652686563917,-0.0179347088791,0.00151229041695,0.0,440.36740796604465,441.07145007285476,440.0643192192881,442.02888071178063
0.48000000000000015,0.000337823027492,-0.0018425464766,10.2166899723,6.27351445715,6.28102113385,4.0,0.00347196500416,-0.0172275504993,0.783982040997,-0.0238615178397,-0.0242869268472,0.0,448.8717151980162,446.7735147814668,446.79070939922593,446.30733467001875
0.5400000000000001,0.000595183331982,-0.00307618022491,10.2661893111,6.2717989753,6.27926139547,4.0,0.00526375490337,-0.0240470591559,0.865934935278,-0.0403014379553,-0.0420362783384,0.0,432.8036565901915,431.3070511959869,432.21826978479197,430.830383111795
0.6000000000000002,0.00100661213827,-0.00477718448594,10.3223091983,6.26946147003,6.27695384493,4.0,0.00870935338839,-0.0329077681944,1.0046115235,-0.0363998997514,-0.0321252145442,0.0,448.9110342296635,449.71371305279274,450.12851584701815,450.4433616890665
0.6600000000000003,0.00166816068548,-0.00704963648303,10.386011173,6.26703836955,6.2746992145,4.0,0.0135559617221,-0.0430773310686,1.11867744657,-0.0498633056183,-0.0516568421726,0.0,443.1836528766874,441.57478213696515,442.9695384808096,441.8602440964837
0.7200000000000003,0.00267001275759,-0.00998139909244,10.4562634716,6.26359280702,6.27140302674,4.0,0.0201654335845,-0.0549687367314,1.22295071965,-0.0802239428318,-0.062466565076,0.0,440.8384220508882,439.9423017619155,439.9901770765535,437.46700389323973
0.7800000000000004,0.00411210723428,-0.01366289802,10.5307192069,6.25923560513,6.26883365203,4.0,0.0281817701628,-0.0681683003757,1.25885502451,-0.0606217067819,-0.0191682687835,0.0,416.2186562689932,419.98885413819886,416.3511191095655,418.0577946296001
0.8400000000000004,0.00615737344364,-0.018351876742,10.6129052716,6.25549677551,6.26737220237,4.0,0.040143420713,-0.0885668510798,1.48040573793,-0.0659313801772,-0.0375501548544,0.0,477.01100822250305,475.60527123259806,475.01362426406837,474.60377683234077
0.9000000000000005,0.00892203325853,-0.0242894268208,10.7060010579,6.25120959394,6.26467285323,4.0,0.0522691397826,-0.109788584225,1.62257736795,-0.0857681462932,-0.0671734973067,0.0,453.3232943937223,450.93545425564963,453.38584118272587,451.7854023385781
0.9600000000000005,0.0124133585703,-0.0314839093547,10.8041336354,6.24630447393,6.26088655382,4.0,0.0644628510202,-0.130482715599,1.64844712514,-0.0747382611281,-0.0560100532187,0.0,413.9982991264808,414.9760547646589,416.1101433549569,417.06855802592725
1.0200000000000005,0.0167379970827,-0.0400648828291,10.9053183214,6.24210878723,6.25695556332,4.0,0.0800307185604,-0.15597117866,1.72423724208,-0.0617239164871,-0.102604214772,0.0,433.74497252781947,429.81007982382636,431.82100025427616,432.91341841023063
1.0800000000000005,0.0220979858937,-0.0502732724065,11.0114749907,6.2390827195,6.25043627627,4.0,0.0992655217878,-0.184633988225,1.81414419234,-0.0341832259536,-0.124876497024,0.0,437.833522234986,435.9657186785828,435.7756578612414,438.0696833772232
1.1400000000000006,0.0288359363198,-0.0623696426066,11.1255387986,6.23658992231,6.24313687786,4.0,0.12615841063,-0.218813062635,1.98765136993,-0.0633632697456,-0.115895081452,0.0,462.926119279556,463.61949273162554,464.2220277589596,461.92572963163786
1.2000000000000006,0.0373218978821,-0.0765468735564,11.249278344,6.23251228302,6.23671211314,4.0,0.157423480147,-0.254175724883,2.13667485208,-0.07925431635,-0.0936024106157,0.0,455.518762246496,457.2878375041744,457.1593507838434,455.8880044697667
1.2600000000000007,0.0477471701175,-0.092858817312,11.3803852179,6.22807128932,6.23100731217,4.0,0.190652541092,-0.290010481382,2.2333090914,-0.0651938870829,-0.0982098048795,0.0,440.86909801386395,440.48047683521736,440.4910246253669,441.64777357143106
